record_id,tar_tfidf_logreg_score,is_relevant
#1,0.29405607288227126,0
#10,0.4646413903123158,0
#100,0.20954596154638044,0
#1000,0.08745534076704643,0
#1001,0.08080923440872649,0
#1002,0.30440504083714887,0
#1003,0.10594889166541602,0
#1004,0.07991015105257097,0
#1005,0.07713873679114111,0
#1006,0.12870826560229837,0
#1007,0.39564998564628245,0
#1008,0.09440280317635044,0
#1009,0.10793144761234029,0
#101,0.07894837041549049,0
#1010,0.18907490268272464,0
#1011,0.20162819577647786,0
#1012,0.13137048500843831,0
#1013,0.20116342305912469,0
#1014,0.13151731879177925,0
#1015,0.08504409507445418,0
#1016,0.07541196261597559,0
#1017,0.3100855121534481,0
#1018,0.13455814749954936,0
#1019,0.08678494906679164,0
#102,0.17018091216309666,0
#1020,0.21324508350107804,0
#1021,0.14612402546550546,0
#1022,0.13492003344723613,0
#1023,0.4350419570630976,0
#1024,0.1138370029501786,0
#1026,0.1799374092443727,0
#1027,0.07926930370091059,0
#1028,0.1175736771895277,0
#1029,0.13200213205866337,0
#103,0.1664200536771232,0
#1030,0.30375666688520725,0
#1031,0.05856540156270798,0
#1032,0.09589622305769202,0
#1033,0.5524510563460698,0
#1034,0.13757633423429416,0
#1035,0.07344283552755461,0
#1036,0.061942876384246975,0
#1037,0.15337503631832733,0
#1038,0.1272869445128635,0
#1039,0.43790534693779054,0
#104,0.32964110288743437,0
#1040,0.19362245107262047,0
#1041,0.08237712230801189,0
#1042,0.22442476042974951,0
#1043,0.11037752761955728,0
#1044,0.09722354618658466,0
#1045,0.06877172023653788,0
#1046,0.1129845529419871,0
#1047,0.205965964888746,0
#1048,0.3438203926084125,0
#1049,0.15002277971414882,0
#105,0.1508379695795951,0
#1050,0.10399303139721404,0
#1051,0.13511888219383647,0
#1052,0.10607740360639009,0
#1053,0.2783829707025675,0
#1054,0.10558225826781914,0
#1055,0.10893008083660496,0
#1056,0.3118982542898352,0
#1057,0.7019897452875951,0
#1058,0.11789757756860506,0
#1059,0.09292638403634987,0
#106,0.25699446854819885,0
#1060,0.15293370771168616,0
#1061,0.12634183447089306,0
#1062,0.11397577907599925,0
#1063,0.25019870693829843,0
#1064,0.0917813812284207,0
#1065,0.23523029741287735,0
#1066,0.19904311322012372,0
#1067,0.15704397029348843,0
#1068,0.24162052442742477,0
#1069,0.1281421371004739,0
#107,0.2147315982016437,0
#1070,0.11114830358293278,0
#1071,0.30006866186487086,0
#1072,0.10752657802498262,0
#1073,0.305732552963956,0
#1074,0.11435007881645433,0
#1075,0.21215339420326573,0
#1076,0.1457669313224296,0
#1077,0.16557070170625,0
#1078,0.37680824598282703,1
#1079,0.14299277128790683,0
#108,0.4081881503616646,1
#1080,0.10164845294123408,0
#1081,0.1122686207322077,0
#1082,0.11609780250106937,0
#1083,0.0871929472673396,0
#1084,0.0746110621699488,0
#1085,0.10413537281129763,0
#1086,0.10473123815120024,0
#1087,0.3845653509342779,0
#1088,0.09507660944921567,0
#1089,0.1710221375964021,0
#109,0.7812234406343694,1
#1090,0.07555439311339326,0
#1091,0.086824939082236,0
#1092,0.09599734581021895,0
#1093,0.11315613505031775,0
#1094,0.1420019157086736,0
#1095,0.38500817103583757,0
#1096,0.08753782601336396,0
#1097,0.13244037653902652,0
#1098,0.0691302463709973,0
#1099,0.2786664167834513,0
#11,0.5284473240832606,0
#110,0.07067551635232094,0
#1100,0.08653242845913629,0
#1101,0.07916004048391488,0
#1102,0.1283123012465697,0
#1103,0.11635650737582563,0
#1104,0.1482080954033862,0
#1105,0.20263187045490444,0
#1106,0.10914154785172271,0
#1107,0.38854818518957607,0
#1108,0.10438557099945862,0
#1109,0.05277875079275308,0
#111,0.498003179343986,1
#1110,0.1125063867394764,0
#1111,0.09660692651081114,0
#1112,0.09117062768708889,0
#1113,0.1221346296883607,0
#1114,0.1149308068037316,0
#1115,0.10251772380694413,0
#1116,0.20827490780824248,0
#1117,0.10665240476380575,0
#1118,0.15623157632671375,0
#1119,0.10805142840178585,0
#112,0.13252186017138226,0
#1120,0.12365550907849825,0
#1121,0.3411331389121578,0
#1122,0.33587395440569173,0
#1123,0.5703042623689134,1
#1124,0.17706586007975508,0
#1125,0.43318706673974194,1
#1126,0.06533586556140529,0
#1127,0.09535321916241875,0
#1128,0.0781433418928223,0
#1129,0.09414839002178534,0
#113,0.21659867342330905,0
#1130,0.1533105357704205,0
#1131,0.10510524141699096,0
#1132,0.09777446614851847,0
#1133,0.13775782777713702,0
#1134,0.06560047481928348,0
#1135,0.1627047074514223,0
